latitud,longitud,calle,telef
-34.6288473603881,-58.3775508488443,MANUEL A. MONTES DE OCA,4307-5842 / 5844
-34.5941919726393,-58.4120700769456,GALLO,4962-9247 / 9248 / 9280
-34.5845283357505,-58.4027276547828,SANCHEZ DE BUSTAMANTE,4805-5521 / 7533
-34.6394041316484,-58.3851559118889,BRANDSEN,4301-3655 / 3659
-34.6341535760002,-58.3913114406535,CASEROS,4306-4641 al 4649
-34.6084721257413,-58.4349433479819,DIAZ VELEZ,4958-9900
-34.6302112044495,-58.3758433488021,DOCTOR ENRIQUE FINOCHIETTO,4307-1445 / 4677 / 6777 / 6738 / 7474
-34.6357022351559,-58.3823284509488,DOCTOR RAMON CARRILLO,4305-6108
-34.6364350546569,-58.3821283746958,DOCTOR RAMON CARRILLO,4305-6485
-34.6388917320834,-58.3601201271455,DON PEDRO DE MENDOZA,4360- 3900 / 4301-4870 / 4834 / 4302-9492 / 9510
-34.5538963316473,-58.4409882382439,ECHEVERRIA,4781-6071 al 74
-34.634856308415,-58.4027506275377,ESTEBAN DE LUCA,4943-3567
-34.6054342750207,-58.4601855775528,JUAN B. JUSTO,4582-1278 / 4581-7766 / 0645
-34.6146348348429,-58.4276597542837,MUÑIZ,4983-0392 / 4983-8983
-34.6070507603866,-58.4332484381295,PATRICIAS ARGENTINAS,4982-1731 / 1831
-34.6255031952483,-58.4323966950244,PEDRO GOYENA,4923-3022
-34.6227125075124,-58.3940641604746,SAN JUAN,4127-3100 / 4941-5555
-34.6179817540591,-58.5021449222222,SEGUROLA,4630-4700 / 4800
-34.6375293258416,-58.3937269413225,USPALLATA,4304-2180 / 3380 / 4306-7855
-34.5972098729151,-58.4752588459761,WARNES,4521-0273 / 0090 / 0983
-34.5847659581214,-58.4005134574423,GENERAL LAS HERAS,4809-2000
-34.6283448581677,-58.365985088719,CORBETA PI Y MARGAL,4121-0700 / 0800
-34.581141710889,-58.4068939142787,CERVIÑO,4808-2600
-34.6089728538414,-58.437981361705,DIAZ VELEZ,4982-5555 / 4982-5655 Conmutador 4982-1050 / 4981-2670
-34.6241704940114,-58.4695020363265,DOCTOR JUAN FELIPE ARANGUREN,4611-6666 / 4630-2900
-34.6176598438607,-58.4096107488155,GENERAL URQUIZA,4127-0200 / 300
-34.565051956568,-58.4710781593251,MONROE,4123-3100
-34.599979524264,-58.5110525000569,NUEVA YORK,4501-5985 / 0683
-34.6253367952668,-58.50761514092,PEDRO CALDERON DE LA BARCA,4639-8700 al 05
-34.6491867281064,-58.5156291936709,PILAR,4630-5500 / 5509
-34.6431172591975,-58.4108602188291,PEDRO CHUTRO,4912-1085
-34.5873917690227,-58.4710976282168,COMBATIENTES DE MALVINAS,4521-3600 / 1236 / 8700
-34.643894071866,-58.4541167814714,VARELA,4631-8100 / 0526
-34.6718480140772,-58.4566428491103,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. 4402",4604-9000
-34.6299453614404,-58.3918791813882,COMBATE DE LOS POZOS,4941-8772 / 4942-7475
-34.6419888014928,-58.3814293381891,SUAREZ,4301-3961
